"Graffiti Types","Null Mean MHI","P Value","Observed MHI Value","Scenario","Error Rate","Replicate","Deficit (%)"
"Masterpiece vs SITS",0.532891186719106,0.005,0.420647588274692,"Diffuse with cross-pole bleed",0.05,12,21.063136573054
"Tag vs SITS",0.809445486581208,0.005,0.724353856981508,"Diffuse with cross-pole bleed",0.05,12,10.5123360387239
"Masterpiece vs Tag",0.45795266495789,0.005,0.391102164304357,"Diffuse with cross-pole bleed",0.05,13,14.5976878766892
"Masterpiece vs SITS",0.511333928020745,0.005,0.420475603704545,"Diffuse with cross-pole bleed",0.05,13,17.7688823950898
"Tag vs SITS",0.809337992407248,0.005,0.721463534390677,"Diffuse with cross-pole bleed",0.05,13,10.8575723419585
"Masterpiece vs Tag",0.468957305575615,0.005,0.387201807717556,"Diffuse with cross-pole bleed",0.05,14,17.4334628943906
"Masterpiece vs SITS",0.521888525901077,0.005,0.431255143798218,"Diffuse with cross-pole bleed",0.05,14,17.3664255113436
"Tag vs SITS",0.809952187433496,0.005,0.727483487893798,"Diffuse with cross-pole bleed",0.05,14,10.181921947889
"Masterpiece vs Tag",0.482966389741261,0.005,0.410074740193375,"Diffuse with cross-pole bleed",0.05,15,15.0924890626315
"Masterpiece vs SITS",0.536268121894571,0.005,0.464809645987354,"Diffuse with cross-pole bleed",0.05,15,13.3251396064273
"Tag vs SITS",0.808693463132186,0.005,0.723892320333224,"Diffuse with cross-pole bleed",0.05,15,10.4861912040831
"Masterpiece vs Tag",0.454820899010164,0.005,0.388565936705106,"Diffuse with cross-pole bleed",0.05,16,14.5672642680338
"Masterpiece vs SITS",0.508825546214386,0.005,0.439422563958033,"Diffuse with cross-pole bleed",0.05,16,13.6398384029073
"Tag vs SITS",0.80904445213867,0.005,0.722798789827256,"Diffuse with cross-pole bleed",0.05,16,10.660188334946
"Masterpiece vs Tag",0.455651273766272,0.005,0.378247662085719,"Diffuse with cross-pole bleed",0.05,17,16.987467420152
"Masterpiece vs SITS",0.509311403420543,0.005,0.418028468021067,"Diffuse with cross-pole bleed",0.05,17,17.9228139771501
"Tag vs SITS",0.808237376746542,0.005,0.714079893000679,"Diffuse with cross-pole bleed",0.05,17,11.6497314347033
"Masterpiece vs Tag",0.476283894711281,0.005,0.421754340129259,"Diffuse with cross-pole bleed",0.05,18,11.4489604178358
"Masterpiece vs SITS",0.527936720513358,0.005,0.46779885985988,"Diffuse with cross-pole bleed",0.05,18,11.3911115322686
"Tag vs SITS",0.812161022940421,0.005,0.7255042654273,"Diffuse with cross-pole bleed",0.05,18,10.6698985872753
"Masterpiece vs Tag",0.472946382379421,0.005,0.400614975269799,"Diffuse with cross-pole bleed",0.05,19,15.2937858929628
"Masterpiece vs SITS",0.526019792714267,0.005,0.43058328414455,"Diffuse with cross-pole bleed",0.05,19,18.1431402185959
